"id";"name";"mobile";"address";"rating";"votes";"established";"website";"mon_time";"tues_time";"wed_time";"thurs_time";"fri_time";"sat_time";"sun_time"
158;"The Art Of Living";"+(91)-9810136417";"D-3 hans raj tower, main road , Noida Sector 41, Noida - 201303, Opp Police Station Sec-39(Map)";"4.2";"33";"2009";"Null";"09:00 am - 06:30 pm";"09:00 am - 06:30 pm";"09:00 am - 06:30 pm";"09:00 am - 06:30 pm";"09:00 am - 06:30 pm";"09:00 am - 06:30 pm";"09:00 am - 05:30 am"
159;"booster gym & spa";"+(91)-11-45058955";"A-13/57, Rajouri Garden, Delhi - 110027(Map)";"3.5";"43";"GymnasiumsFitness Ce";"http://www.boostergym.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
160;"Mirage Health Club";"+(91)-9990597200";"Plot No-2, 2nd Floor, Antriksh Plaza, Dwarka Sector 10, Delhi - 110075, Central Market(Map)";"4.1";"85";"2011";"javascript:void(0);";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm";"05:00 am - 10:30 pm"
161;"Sportsfit";"+(91)-11-46000511";"Shop No. 21-24, Lower Ground Floor, Vasant Square Mall, Vasant Kunj Sector-B, Delhi - 110070(Map)";"4.0";"2";"2015";"http://www.sportsfitworld.com";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm"
162;"Khazan Singh Gym";"+(91)-11-32933828";"Shop No-76/E, Baba Gangnath Marg, Jnu, Delhi - 110067, Jnu Campus, Near Kendriya Vidyalya(Map)";"4.0";"113";"2003";"Null";"05:00 am - 08:00 am  04:00 pm - 09:00 pm";"Closed";"05:00 am - 08:00 am  04:00 pm - 09:00 pm";"05:00 am - 08:00 am  04:00 pm - 09:00 pm";"05:00 am - 08:00 am  04:00 pm - 09:00 pm";"05:00 am - 08:00 am  04:00 pm - 09:00 pm";"05:00 pm - 08:00 am  04:00 pm - 09:00 pm"
163;"Platinum Gym & Spa Unisex";"+(91)-11-69920026";"BN-57(East), Shalimar Bagh, Delhi - 110088, Below Fedreral Bank(Map)";"3.9";"86";"Cash";"javascript:void(0);";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"06:00 am - 02:00 pm  05:00 pm - 11:00 pm";"Closed"
164;"Hype The Gym";"+(91)-124-4006003";"First floor,bestech mall, Gurgaon Sector 57, Gurgaon - 122011(Map)";"4.4";"69";"Health Club Gents";"Null";"06:00 am - 10:00 am";"06:00 am - 10:00 am";"06:00 am - 10:00 am";"06:00 am - 10:00 am";"06:00 am - 10:00 am";"06:00 am - 10:00 am";"06:00 am - 10:00 am"
165;"Los Angeles Body Station";"+(91)-11-45018666";"Amba Tower, Basement, Rohini Sector 9, Delhi - 110085, D C Chowk(Map)";"3.0";"1";"2010";"Null";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"08:00 am - 12:00 pm"
166;"Health Quest";"+(91)-9716766705";"253,Deepali Enclave, Main Road, Deepali-pitampura, Delhi - 110034, Near Kali Mata Mandir(Map)";"3.9";"45";"GymnasiumsLuxury Spa";"http://www.healthquest.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"Closed"
167;"Body Flex";"+(91)-11-28314681";"3/27-A, Punjabi Bagh, Delhi - 110026, Opp Hanuman Murti, East(Map)";"4.7";"3";"GymnasiumsClubsHealt";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
168;"Kaya Herbals";"+(91)-8750255395";"12, Gurgaon, Gurgaon - 122002, Opposite Global Foyer Mall";"4.7";"3";"2014";"http://www.x-heal.in";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm";"09:00 am - 07:00 pm"
169;"Crunch";"+(91)-11-41027236";"G-14, Hauz Khas, Delhi - 110016(Map)";"3.2";"21";"2014";"http://www.crunchhealth.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
170;"Freakerzzz";"+(91)-11-47052525";"f-1/19, Krishna Nagar, Delhi - 110051(Map)";"1.0";"1";"2014";"Null";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm"
171;"Sports Fit World";"+(91)-124-4219191";"29 To 44, Global Foyer, Golf Course Road, Gurgaon, Gurgaon - 122001";"3.9";"99";"2012";"http://www.sportsfitworld.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
172;"Breathe Gym";"+(91)-11-40573450";"1-A, Masjid Moth-South Extension I, Delhi - 110049, Opposite Neeti Bagh(Map)";"4.1";"61";"They Dont Have Any B";"javascript:void(0);";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm"
173;"Phy World";"+(91)-11-39512293";"4th North Avenue, Punjabi Bagh, Delhi - 110026, Near Axis Bank(Map)";"4.1";"57";"1999";"http://www.phyworld.in";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"Closed"
174;"Absolute Fitness Gym & Spa";"+(91)-9540490490";"Plot Number-1, 2nd Floor, Manish Metro Plaza, Dwarka Sector 12, Delhi - 110078, Above Barcose Restaurant(Map)";"4.2";"11";"2014";"http://www.absolutegym.in";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm";"05:00 am - 08:00 pm"
175;"Blu 1 Fitness";"+(91)-11-26920590";"174, Lotus Pond Road, New Friends Colony, Delhi - 110025, Next To Lotus Pond Restaurant And Dim Sum Bros Reataurant, Sarai Jhulena(Map)";"3.8";"63";"2011";"http://www.bluewellness.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 02:00 pm"
176;"Blue Gym";"+(91)-120-4564266";"Level 4, The Opulent Mall, Chaudhary more, G T Road, Ghaziabad, Ghaziabad - 201001(Map)";"4.5";"12";"CashMaster CardVisa ";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
177;"Figure & Fitness Health Club";"+(91)-11-27214996";"Shop Nob-2/9, Ashok Vihar, Delhi - 110052, PH-2(Map)";"3.5";"48";"GymnasiumsClubsAerob";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
178;"Origen Fitness Center";"+(91)-124-4308008";"Plot No-22, Dlf City Phase II Gurgaon, Gurgaon - 122008(Map)";"3.4";"18";"Also They Have Beaut";"javascript:void(0);";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm";"06:30 am - 09:30 pm"
179;"Evolve Truth In Fitness";"+(91)-11-26193839";"B - 4/53, Safdarjung Enclave, Delhi - 110029, Kamal Cinema(Map)";"2.8";"4";"1993";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
180;"Revital Mantra";"+(91)-120-4311222";"P-3 Krishna Apra Plaza 1st Floor F-7&8, Near Metro Station, Noida Sector 18, Noida - 201301, Infront Of Vatika Restaurant(Map)";"3.8";"37";"2003";"http://www.revitalmantra.com";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm"
181;"Dronacharya The gym";"+(91)-9999422970";"Building no-11/83-84, Parparganj road, Geeta Colony, Delhi - 110031, Near kanchan studio(Map)";"4.0";"1";"2015";"Null";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
182;"Unique Gym";"+(91)-9810075386";"3826, Galli Kaziwada, Darya Ganj, Delhi - 110002(Map)";"Null";"0";"2000";"Null";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"05:00 am - 10:00 am  04:00 pm - 10:30 pm";"Closed"
183;"Fit Stop Gym";"+(91)-129-4010008";"Faridabad Sector 15, Faridabad - 121007";"3.9";"27";"GymnasiumsHealth Clu";"http://www.fitstop.in";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  03:30 pm - 09:30 pm";"06:00 am - 01:00 pm  04:00 pm - 08:00 pm"
184;"Blue Gym & Spa";"+(91)-11-27893498";"Plot No-8, 1st Floor, Rohini Sector 15, Delhi - 110089, Pocket-8, Above ICICI Bank(Map)";"3.9";"40";"2011";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"08:00 am - 02:00 pm"
185;"Fluid Active Fitness";"+(91)-11-27605555";"42a, Dr Mukherjee Nagar, Delhi - 110009, Parmanand Colony, Mini Market(Map)";"3.5";"37";"2010";"javascript:void(0);";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"Closed"
186;"Kross Fit Health Centre";"+(91)-9717010168";"19,Engineer Enclave, Pitampura, Delhi - 110034(Map)";"4.1";"15";"Cash";"Null";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm";"05:30 am - 11:30 pm"
187;"Tuscany Spa";"+(91)-11-49676755";"60 Communicty Center, Naraina, Delhi - 110028, Near Pvr Cinema(Map)";"3.8";"40";"2011";"http://www.tuscany.in";"12:00 am - 12:00 am";"12:00 am - 12:00 am";"12:00 am - 12:00 am";"12:00 am - 12:00 am";"12:00 am - 12:00 am";"12:00 am - 12:00 am";"12:00 am - 12:00 am"
188;"DRONACHYRAYA GYM";"+(91)-9891053070";"Shop No 2531, Outrum Lines, Kingsway Camp, Delhi - 110009, Near NDPL office(Map)";"4.0";"82";"2011";"javascript:void(0);";"06:00 am - 01:00 pm";"06:00 am - 01:00 pm";"06:00 am - 01:00 pm";"06:00 am - 01:00 pm";"06:00 am - 01:00 pm";"06:00 am - 01:00 pm";"05:30 am - 01:00 pm"
189;"Fitness First";"+(91)-8826111488";"Karol Bagh, Delhi - 110005(Map)";"4.1";"16";"GymnasiumsSlimming C";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
190;"Life Long Health Care & Cure";"+(91)-8860886888";"B-4/5, Model Town 1, Delhi - 110009, HDFC Bank Builiding(Map)";"4.3";"43";"2006";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"Closed"
191;"Sycorian Health Club & Spa";"+(91)-11-26171911";"Ab 1, Kamal Cinema Cplx, Safdarjung Enclave, Delhi - 110029(Map)";"3.6";"52";"CashCredit Card";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm"
192;"Phyaction Physiotherapy & Fitn...";"+(91)-11-39542220";"A 8, Vishal Enclave, Rajouri Garden, Delhi - 110027, Near Pillar No 410, Opposite Rajouri Garden(Map)";"3.7";"80";"2012";"javascript:void(0);";"09:30 am - 07:00 pm";"09:30 am - 07:00 pm";"09:30 am - 07:00 pm";"09:30 am - 07:00 pm";"09:30 am - 07:00 pm";"09:30 am - 07:00 pm";"Closed"
193;"Fuel Evolutions";"+(91)-11-33638148";"140, Sainik Farms, Delhi - 110062, Near Anupam Garden Sainik Farm(Map)";"4.1";"21";"2007";"http://www.fuelevolution.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"04:00 pm - 08:00 pm"
194;"Big Gun Gym";"+(91)-9810069762";"Hauz Rani, Malviya Nagar, Delhi - 110017(Map)";"4.0";"19";"Cash";"Null";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm"
195;"Passion The Fitness Studio";"+(91)-11-41734444";"HS- 17, First Floor, Kailash Colony, Delhi - 110048, Near Durga Mandir, Kailash Colony Market(Map)";"3.0";"5";"2014";"http://www.passionfitness.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"02:00 pm - 08:00 pm"
196;"Kropp Sports Gym";"+(91)-9810607321";"B-22 Basement, Jwala Heri Road, Paschim Vihar, Delhi - 110063, Near Amritsari Kulcha(Map)";"3.8";"4";"2014";"Null";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 10:00 pm";"06:30 am - 12:30 pm"
197;"Fitness Junkie";"+(91)-11-33631381";"65 Ram Vihar,basement , Vikas Marg, Anand Vihar, Delhi - 110092, Opposite Yammuna Sports Complex Gate Number 1";"3.2";"39";"2005";"http://wwww.fitnessjunkie.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
198;"FX Fitness Club";"+(91)-11-45152365";"B2/2, Ashok Vihar II-Ashok Vihar, Delhi - 110052(Map)";"3.9";"51";"Beauty SpasGymnasium";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
199;"Lee salon and spa";"+(91)-9654212855";"Shop n.lg10, Vasundhara Sector 12, Ghaziabad - 201012, Awaj tower(Map)";"3.7";"3";"2015";"Null";"10:00 am - 10:30 am";"10:00 am - 10:30 am";"10:00 am - 10:30 am";"10:00 am - 10:30 am";"10:00 am - 10:30 am";"10:00 am - 10:30 am";"10:00 am - 10:30 am"
200;"Nucleus Health HUB";"+(91)-11-45667866";"B-1/10, Rd No 30, Paschim Vihar, Delhi - 110063(Map)";"4.0";"51";"They Don't Have Bran";"http://www.nucleushealthhub.com";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm";"05:30 am - 10:30 am  05:00 pm - 10:00 pm"
201;"Measure Gym & Spa";"+(91)-124-4145557";"Sco No 54-55,2nd Floor, Above MORE Retail Shop, Gurgaon Sector 56, Gurgaon - 122011, Infornt of HEWO socity , Huda Complex(Map)";"3.7";"99";"2010";"http://www.measuregym.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"07:00 am - 08:00 am";"07:00 am - 08:00 am"
202;"Body Station Health Club";"+(91)-11-47075727";"Plot No-2, G T Karnal Road, Delhi - 110033, State Bank Colony, Near Nanak Piao Gurudwara(Map)";"4.2";"40";"Girl's Timings Are F";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"Closed"
203;"B FIT GYM & SPA";"+(91)-9899819885";"F 14/18, Main market road, Model Town 2, Delhi - 110009, Opposite mc.donnal(Map)";"5.0";"3";"2013";"javascript:void(0);";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 12:00 pm  04:30 pm - 11:00 pm";"05:30 am - 05:30 am"
204;"Gym Asia";"+(91)-9312506665";"H-27, Main road, Ashok Vihar I-Ashok Vihar, Delhi - 110052, Opp. D-block(Map)";"2.3";"3";"2015";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm"
205;"Fitstop Gym";"+(91)-129-4140500";"Scf-146,1st Floor, Main Market, Faridabad Sector 21c, Faridabad - 121001, Huda Market";"4.0";"72";"2004";"http://www.fitstop.in";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 pm - 10:00 pm";"05:30 am - 12:00 pm  04:00 am - 10:00 pm"
206;"DE Touch";"+(91)-11-22098788";"F-2/6, Krishna Nagar, Delhi - 110051, Opposite HDFC Bank(Map)";"3.9";"46";"CashMaster CardVisa ";"javascript:void(0);";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm"
207;"Addiction Gym";"+(91)-120-4226800";"Shop No-2,3,4 ,5 , Jalvayu vihar , Noida Sector 25, Noida - 201301, Opp. Bal Bharti public school(Map)";"4.1";"49";"2009";"http://www.addictionindia.com";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
208;"Chander Fitness Centre";"+(91)-11-41022910";"D-5, ., Lajpat Nagar 4-Lajpat Nagar, Delhi - 110024, Amar Colony(Map)";"3.8";"81";"2006";"http://www.chanderfitnesscentre.in";"04:00 am - 10:00 pm";"04:00 am - 10:00 pm";"04:00 am - 10:00 pm";"04:00 am - 10:00 pm";"04:00 am - 10:00 pm";"04:00 am - 10:00 pm";"Closed"
209;"Eden Gym";"+(91)-11-39541691";"D-13 A/30, Model Town 2, Model Town, Delhi - 110009, Adjoining Aggarwal Dharamshala(Map)";"4.0";"56";"2002";"javascript:void(0);";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm";"06:00 am - 10:30 pm"
210;"K Rebound Health Club";"+(91)-9999689819";"89, Pitampura, Delhi - 110034, Chanderlok";"4.3";"8";"2014";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 am"
211;"Talwalkars Hi Fi";"+(91)-11-33982912";"B-23/A ,2nd floor ,Gautam budh nagar , Noida Sector 62, Noida - 201309, Behind Fortis Hospital(Map)";"3.6";"50";"2011";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"Closed"
212;"Baba Gang nath Swimming Pool &...";"+(91)-124-2221604";"Kendriya Vidhyalaya, Gurgaon Sector 14, Gurgaon - 122001, Sec-14";"4.0";"52";"GymnasiumsSwimming C";"Null";"05:30 am - 08:30 am  03:30 pm - 09:30 pm";"Closed";"05:30 am - 08:30 am  03:30 pm - 09:30 pm";"05:30 am - 08:30 am  03:30 pm - 09:30 pm";"05:30 am - 08:30 am  03:30 pm - 09:30 pm";"05:30 am - 08:30 am  03:30 pm - 09:30 pm";"05:30 am - 08:30 am  03:30 pm - 09:30 pm"
213;"The Workout Gym & Fitness center";"+(91)-9811183999";"2nd Floor , Ch. Kishand Chand Complex, Jwalaheri, Paschim Vihar, Delhi - 110063(Map)";"2.5";"2";"Cash";"Null";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm"
214;"Burn gym and spa";"+(91)-9953234019";"Shop no - sb63, Ahinsa Khand II-Indirapuram, Ghaziabad - 201014, Jaipuria mall(Map)";"1.0";"1";"2011";"http://Www.chargeup.in";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"08:00 am - 08:00 pm"
215;"country fitness";"+(91)-11-47018998";"vardhman prime plaza, 2nd floor BN-block market, Shalimar Bagh East, Delhi - 110088, near ever bakes(Map)";"5.0";"1";"Gymnasiums";"http://www.countryfitness.in";"06:00 am - 11:00 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"05:00 pm - 09:00 pm"
216;"HYPE gym";"+(91)-11-43016519";"A-19, 2 floor , acharya niketan market, Mayur Vihar Phase I, Delhi - 110091, opposite indian bank(Map)";"Null";"0";"2015";"javascript:void(0);";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm";"06:00 am - 11:00 pm"
217;"Galaxy His N Her Beauty Salon";"+(91)-11-32926313";"A-76,1st Floor & 2nd Floor, Prashant Vihar, Delhi - 110085, Opposite Crpf School(Map)";"3.8";"105";"Gym Timing 6:00 Am T";"Null";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm"
218;"Metal Gym";"+(91)-9811715035";"6/43, West Punjabi Bagh, Delhi - 110026(Map)";"3.9";"31";"2003";"Null";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:00 am - 10:00 am  05:00 pm - 10:00 pm";"06:30 am - 10:00 am  05:00 pm - 10:00 pm"
219;"Yoga Ashram Swami Lal Ji";"+(91)-11-26192687";"Yoga Ashram, RK Puram Sector 6, Delhi - 110022, Near Vasant Place Market(Map)";"3.9";"16";"1969";"http://www.yogirajswamilalji.in";"08:00 am - 06:00 pm";"08:00 am - 06:00 pm";"08:00 am - 06:00 pm";"08:00 am - 06:00 pm";"08:00 am - 06:00 pm";"08:00 am - 06:00 pm";"Closed"
220;"Q Doz Body Station";"+(91)-11-45565462";"Shop No-211, 2nd Floor, Gujranwala Town 3, Delhi - 110009(Map)";"3.4";"8";"2014";"Null";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"06:00 am - 12:00 pm  04:00 pm - 10:00 pm";"07:00 am - 12:00 pm"
221;"Body Pedia Gym";"+(91)-9711575476";"E 1/7, East Patel Nagar, Delhi - 110008, Near rice bowl(Map)";"3.9";"12";"2012";"javascript:void(0);";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm";"06:30 am - 10:30 pm"
222;"XtraFit Gym & Spa";"+(91)-11-45563138";"A-1/19, Basement, Prashant Vihar, Delhi - 110085(Map)";"4.1";"27";"2013";"http://www.xtrafit.co.in";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
