"id";"name";"mobile";"address";"rating";"votes";"established";"website";"mon_time";"tues_time";"wed_time";"thurs_time";"fri_time";"sat_time";"sun_time"
66;"Shaolin Kung Fu Federation Of ...";"+(91)-9990024260";"B-222, Westend Avenue, Lane W8/D, Sainik Farms, Delhi - 110062";"Null";"0";"2011";"http://www.skfi.org";"04:00 pm - 07:30 pm";"04:00 pm - 07:30 pm";"04:00 pm - 07:30 pm";"04:00 pm - 07:30 pm";"04:00 pm - 07:30 pm";"04:00 pm - 07:30 pm";"Closed"
67;"Hooked 2 Martial Arts";"+(91)-11-33082732";"22/67,68, West Patel Nagar, Delhi - 110008, Near Patel Park(Map)";"4.7";"13";"2013";"javascript:void(0);";"Closed";"06:00 pm - 09:00 pm";"Closed";"06:00 pm - 09:00 pm";"Closed";"06:00 pm - 09:00 pm";"06:00 pm - 09:00 pm"
68;"T3P The Third Place";"+(91)-124-6467102";"Shop No.ugf B 241, Super Mart 1, Dlf City Phase IV Gurgaon, Gurgaon - 122002(Map)";"1.0";"1";"Cash";"javascript:void(0);";"10:00 am - 07:00 pm";"Closed";"10:00 am - 07:00 pm";"10:00 am - 07:00 pm";"10:00 am - 07:00 pm";"10:00 am - 07:00 pm";"10:00 am - 07:00 pm"
69;"NEGIS THE SCHOOL OF MARSHAL ARTS";"+(91)-9990399930";"Plot no-328, 60 foot road, shakti khand-4, Indirapuram, Ghaziabad - 201014, Nr Mother Dairy";"5.0";"5";"2012";"http://www.negimma.com";"04:00 pm - 09:00 pm";"05:00 am - 07:30 am";"05:00 am - 07:30 am";"05:00 am - 07:30 am";"05:00 am - 07:30 am";"05:00 am - 08:00 am";"Closed"
70;"Blue ICE Entertainment";"+(91)-9718182201";"E-116, Basement, Rohini, Delhi - 110085, Prashant Vihar, Nr Santan Dharm Mandir";"2.0";"1";"Dance ClassesMusic C";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
71;"Extreme Kickboxing Martial Arts";"+(91)-11-39518990";"Dwarka, Delhi - 110075";"4.8";"13";"2013";"http://www.delhikickboxing.com";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm"
72;"Body Force Gym";"+(91)-9810194427";"Dlf PH-3 Lane-20/24-6, Gurgaon, Gurgaon - 121104, V Blk, Nr Kinder Land School";"4.5";"2";"Cash";"http://bodyforce.in";"06:00 am - 07:00 pm";"06:00 am - 07:00 pm";"06:00 am - 07:00 pm";"06:00 am - 07:00 pm";"06:00 am - 07:00 pm";"06:00 am - 07:00 pm";"Closed"
73;"Evolution Studio Dance And Fit...";"+(91)-11-33054852";"114 Basement, Ambika Vihar, Delhi - 110087(Map)";"Null";"0";"2003";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
74;"LION INSTITUTE OF MARTIAL ART";"+(91)-9990855401";"B-224, Hari Nagar, Delhi - 110064, Behind Deendayal Hospital(Map)";"5.0";"1";"2002";"javascript:void(0);";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"07:00 am - 09:00 pm";"Closed"
75;"Modern Martial Art Academy";"+(91)-11-33436780";"E 23, Main Road, Dilshad Colony, Delhi - 110095, Near Suraksha Nursing Home(Map)";"Null";"0";"2014";"javascript:void(0);";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm"
76;"Israeli Self Defence";"+(91)-9999702561";"nanaksar gurdwara compound , Greater Kailash II, Delhi - 110048, opposite m 39(Map)";"4.9";"10";"2010";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
77;"Deepak marshal arts";"+(91)-9015265782";"12/33, Main road, Katwaria Sarai, Delhi - 110016(Map)";"5.0";"1";"2009";"Null";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"07:30 am - 08:00 pm";"Closed"
78;"Asian Goju Ryu Karate WKF";"+(91)-9650118593";"Gali No-4055, Pahar Ganj, Delhi - 110055, Kacheri Wallan, Near New Delhi Railway Station(Map)";"5.0";"1";"1986";"javascript:void(0);";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"06:30 am - 07:30 am  05:30 pm - 06:30 pm";"Closed"
79;"MIX MARTIAL ARTS";"+(91)-8882060892";"H-51, Rama Park, Mohan Garden, Uttam Nagar, Delhi - 110059, Near Sunil Dairy(Map)";"Null";"0";"2011";"Null";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm";"03:00 pm - 09:00 pm"
80;"Kaustav";"+(91)-11-33067691";"Delhi - 110048";"4.0";"2";"2009";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
81;"Martial art coaching centre";"+(91)-9582378094";"Gali No -6, Sec -66, Mamura, Noida - 201307, Near Reliance Building";"3.0";"1";"Cash";"javascript:void(0);";"05:00 am - 07:00 am  06:00 pm - 08:00 pm";"05:00 am - 07:00 am  10:00 am - 06:00 pm";"05:00 am - 07:00 am  10:00 am - 06:00 pm";"05:00 am - 07:00 am  10:00 am - 06:00 pm";"05:00 am - 07:00 am  10:00 am - 06:00 pm";"05:00 am - 07:00 am  10:00 am - 06:00 pm";"Closed"
82;"D Ranger Crew Dance Academy";"+(91)-9711908909";"C-23 Second Floor, Link Road , Vasundhara Sector 15, Ghaziabad - 201012, Near Atal Chowk,Near Allahabad Bank(Map)";"2.6";"5";"2013";"javascript:void(0);";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm";"05:00 am - 10:00 pm"
83;"Karate Academy";"+(91)-120-2777725";"28/2, Ghaziabad, Ghaziabad - 201010, Nr Sanskar Public School,Sec-3";"4.0";"46";"InstitutesMartial Ar";"Null";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
84;"Seido Karate";"+(91)-9818399388";"Sports & Cultural Club, Noida Sector 15, Noida - 201301, Sec-15 A(Map)";"3.5";"15";"Cash";"http://www.seidokarate-noida.com";"Closed";"Closed";"Closed";"Closed";"Closed";"06:00 pm - 08:00 pm";"Closed"
85;"Kick Boxing Federation India";"+(91)-9911125413";"204.205, 1st Flr, Plot No-11,Durga Cplx, Blk-C, Mayur Vihar Phase II, Delhi - 110091, Nr. Vinod Nagar Bus Stand(Map)";"3.6";"7";"Cash";"http://kickboxingfederationofindia.com";"06:00 am - 06:00 pm";"06:00 am - 06:00 pm";"06:00 am - 06:00 pm";"06:00 am - 06:00 pm";"06:00 am - 06:00 pm";"06:00 am - 06:00 pm";"Closed"
86;"Shitoryu Karate Association";"+(91)-11-33088865";"B 86 Aali Extension, Sarita Vihar, Delhi - 110076";"4.5";"6";"2006";"javascript:void(0);";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm";"09:00 am - 12:00 pm"
87;"Japan Karate Do Kuniba KAI Ind...";"+(91)-11-22304276";"G-201,Anupam Apts, Surajmal Vihar-Anand Vihar, Delhi - 110092, East Arjun Nagar,Shahdara";"3.0";"2";"Martial Art Training";"http://www.goforkarate.com";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
88;"Shikhar Martial Art Academy";"+(91)-9891173073";"11, Shahdara, Delhi - 110032, Nr Metro Station,Naveen(Map)";"2.0";"1";"Yoga ClassesClubsMar";"Null";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
89;"Sanshinkan Karate Mixed Martia...";"+(91)-8802222997";"N-8,Metro Pillar No-386, Kailash Colony, Delhi - 110048, Near Big Apple";"4.4";"38";"2011";"http://www.martial-art.co.in";"Closed";"08:00 am - 09:30 am";"Closed";"08:00 am - 09:30 am";"Closed";"08:00 am - 09:30 am";"08:00 am - 09:30 am"
90;"Martal Arts Sports Asociation ...";"+(91)-9910121374";"B-279/5, Gokalpuri, Delhi - 110094, Nehru Vihar(Map)";"Null";"0";"Cash";"Null";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
91;"Kendriya Arya Yuvak Parishad";"+(91)-11-23985456";"Arya Samaj, Kabir Bharti, Ito, Delhi - 110002(Map)";"3.0";"1";"Martial Art Training";"Null";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
92;"Self Defence and Fitness Academy";"+(91)-8285111163";"Saket, Delhi - 110017";"Null";"0";"Martial Art Training";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
93;"Martial Art and Fitness Traini...";"Null";"New Delhi, Delhi - 110001";"Null";"0";"Cash";"http://https://www.facebook.com/martialarttraining";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm";"09:00 am - 09:00 pm"
94;"I S academy";"+(91)-11-33989263";"shanti niketan public school, Karawal Nagar, Delhi - 110094";"4.0";"1";"CashCheques";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
95;"Delhi Taekwando Training Academy";"+(91)-11-33086014";"261-2B, Westend Marg And The Garden Of The Five Sences Road, Saket, Delhi - 110017, Near Saket Metro Station Gate No 2(Map)";"4.3";"6";"2010";"javascript:void(0);";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm";"05:30 am - 10:00 pm"
96;"Aikido Aikikai Instructors";"+(91)-9911179274";"2/50m, Niti Mg, Chanakya Puri, Delhi - 110021(Map)";"5.0";"1";"Martial Art Training";"Null";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
97;"THE DOJANG";"+(91)-9871524845";"162-A/9, Vasant Kunj, Delhi - 110070, Near Fortis Hospital, Kishan Garh(Map)";"Null";"0";"CashCheques";"http://www.leanmartialarts.in";"08:00 am - 08:00 pm";"08:00 am - 08:00 pm";"08:00 am - 08:00 pm";"08:00 am - 08:00 pm";"08:00 am - 08:00 pm";"08:00 am - 01:00 pm";"08:00 am - 01:00 pm"
98;"Martial Arts in do Kick Fedration";"+(91)-8802973090";"K-201, Ashok Vihar, Delhi - 110052, Jj C Ashok Vihar(Map)";"4.5";"2";"CashCheques";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
99;"Vishal Mehandi Art";"+(91)-9818016267";"C-4e, Janakpuri, Delhi - 110058, Main Market, Near Nishant Jewellers(Map)";"Null";"0";"Beauty ParloursMarti";"Null";"11:00 am - 09:00 pm";"11:00 am - 09:00 pm";"Closed";"11:00 am - 09:00 pm";"11:00 am - 09:00 pm";"11:00 am - 09:00 pm";"11:00 am - 09:00 pm"
100;"Simna Martial Arts Organization";"+(91)-9718259156";"C 3449a, Janakpuri, Delhi - 110058, Nr Ram Mandir Gurudwara";"4.8";"42";"Cash";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
101;"Jnt Martial Art Academy";"+(91)-11-25082382";"Ramphal Chowk,C-404, 1st Floor , Dwarka Sector 7, Delhi - 110077(Map)";"3.5";"2";"CashCheques";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
102;"Invictus Combat Safety Wellness";"+(91)-9999236700";"Plot Number- 311, Gurgaon Sector 22, Gurgaon - 122015, Near Rotary Public School, Sector -22a(Map)";"4.8";"4";"CashDebit CardsChequ";"Null";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm";"06:00 am - 09:00 pm"
103;"All Delhi Karate Association";"+(91)-11-33720598";"B-5,vishwas apprtmenet,vishwas park,gali no-1A, Dwarka, Delhi - 110075, dwarka-4(oppsite rajapuri red light)";"4.0";"101";"Yoga ClassesMartial ";"javascript:void(0);";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
104;"UFCA Ultimate Fitness & Comat ...";"+(91)-11-33041203";"Plot Number 135, 2nd Floor, Housing Complex, Main Kakrola Road, Dwarka, Delhi - 110075, Metro Piller Number 789 And Near Dwarka More Metro Station";"4.4";"9";"2009";"http://www.ufca.in";"07:00 am - 07:00 pm";"07:00 am - 07:00 pm";"07:00 am - 07:00 pm";"07:00 am - 07:00 pm";"07:00 am - 07:00 pm";"07:00 am - 07:00 pm";"06:00 am - 12:00 pm"
105;"Physique First";"+(91)-11-33742210";"Basement, Dahiya Complex, Jain Road, Uttam Nagar, Delhi - 110059, Near Dance & Sports Academy(Map)";"5.0";"1";"2014";"javascript:void(0);";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"05:00 am - 10:00 am  05:00 pm - 10:00 pm";"Closed"
106;"Kickers Taekwondo Academy";"+(91)-11-33720928";"33/6 , Ground Floor, Noida Sector 82, Noida - 201304, Pkt - 7 , Ews";"4.4";"7";"1997";"javascript:void(0);";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"Closed"
107;"Sbss Club Karate Classes";"+(91)-9999167127";"Main Road, Nirman Vihar, Delhi - 110092, Opposite Madhuban Park, Shishu Mangal School(Map)";"4.5";"2";"1987";"javascript:void(0);";"05:30 pm - 07:30 pm";"05:30 pm - 07:30 pm";"05:30 pm - 07:30 pm";"05:30 pm - 07:30 pm";"05:30 pm - 07:30 pm";"05:30 pm - 07:30 pm";"Closed"
108;"Fitnsecure";"+(91)-9810114686";"F-180 A Ground Floor, Mangal Bazaar Road, Laxmi Nagar, Delhi - 110092, Near Sethi Dharamshala";"3.7";"3";"2010";"http://www.fitnsecure.com";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"10:00 am - 10:00 pm";"Closed"
109;"3F Fitness Freaks Forever";"+(91)-9891765732";"B block park, sector 49, Noida, Noida - 201008, opp prayag hospital";"5.0";"2";"2013";"Null";"06:30 am - 08:00 pm";"06:30 am - 08:00 pm";"06:30 am - 08:00 pm";"06:30 am - 08:00 pm";"06:30 am - 08:00 pm";"06:30 am - 08:00 pm";"Closed"
110;"Tycondo classes";"+(91)-7709259538";"House no 15, D block, Phi -1, Greater Noida, Noida - 201310, Awho road";"Null";"0";"2000";"javascript:void(0);";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm"
111;"Kuldeep Kumar Soni";"+(91)-9927252045";"Meerut Road, Ghaziabad, Ghaziabad - 201001, Near Shriram Piston & Rings Ltd";"Null";"0";"2008";"javascript:void(0);";"05:00 pm - 06:00 pm";"05:00 pm - 06:00 pm";"Closed";"05:00 pm - 06:00 pm";"05:00 pm - 06:00 pm";"05:00 pm - 06:00 pm";"05:00 pm - 06:00 pm"
112;"Ghaziabad Karate School";"+(91)-9871199108";"Noida Sector 61, Noida - 201307, D Block Park,Behind Sec-58 Police Station";"5.0";"1";"Mix Martial Art Clas";"javascript:void(0);";"Closed";"06:00 am - 07:00 am";"06:00 am - 07:00 am";"06:00 am - 07:00 am  06:00 pm - 07:00 pm";"06:00 am - 07:00 am  06:00 pm - 07:00 pm";"06:00 am - 07:00 am  06:00 pm - 07:00 pm";"06:00 am - 07:00 am  06:00 pm - 07:00 pm"
113;"Xtrenght Mma And Fitness";"+(91)-8860613516";"House Number 905, 34 Pavelion Supertech, Noida Sector 34, Noida - 201307";"1.0";"1";"2013";"javascript:void(0);";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm";"06:00 am - 10:00 pm"
114;"Rhythm zone  ( fun learning ac...";"+(91)-9650380100";"Plot no-13 , Sector -5, Vaishali, Ghaziabad - 201012, Near needs super store(Map)";"5.0";"2";"CashCheques";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
115;"Fitness Training";"+(91)-9873411114";"Aditya mega city, vaibhav khand, Indirapuram, Ghaziabad - 201014(Map)";"2.0";"1";"2000";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm"
116;"CHINESE KUNG FU";"+(91)-9716621177";"A-1280,Upper Flr, Mayur Vihar Phase III, Delhi - 110096, G D Clny(Map)";"4.0";"1";"Cash";"javascript:void(0);";"07:00 am - 09:30 am";"07:00 am - 09:30 am";"07:00 am - 09:30 am";"07:00 am - 09:30 am";"07:00 am - 09:30 am";"07:00 am - 09:30 am";"07:00 am - 09:30 am"
117;"Nithya Chaitanya Kalari clinic";"+(91)-11-22617754";"B-94, Mayur Vihar Phase III, Delhi - 110096, Near Ryan International School, Pocket A-2(Map)";"4.0";"1";"Martial Art Training";"javascript:void(0);";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
118;"BLS School Of Film Performing Art";"+(91)-120-2942965";"Mohan Nagar, Ghaziabad, Ghaziabad - 201010, Op Mohan Meains Factory";"Null";"0";"Martial Art Training";"Null";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"10:00 am - 06:00 pm";"Closed"
119;"Delhi Budo Association";"+(91)-9654819477";"House No. 303, ParparGunj, Mayur Vihar Phase I, Delhi - 110091, Near Mayur ViharPh 1 Metro Station(Map)";"4.0";"1";"Cash";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
120;"Red Dragon Academy of Martial ...";"+(91)-9999067816";"4/433, Vaishali Sector 4, Ghaziabad - 201010, Sanfort School";"4.0";"1";"2015";"javascript:void(0);";"06:00 pm - 09:00 pm";"07:00 am - 09:00 pm";"06:00 pm - 09:00 pm";"07:00 am - 09:00 pm";"06:00 pm - 09:00 pm";"07:00 am - 09:00 am";"Closed"
121;"kalarikendramdelhi";"+(91)-11-22612651";"A-804 GD Colony, Mayur vihar phase-3, Mayur Vihar Phase Iii, Delhi - 110096, hanuman mandir";"4.0";"1";"2006";"http://www.kalarikendramdelhi.in/";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
122;"Sports Karate-Do Association o...";"+(91)-9811403793";"A-23, Sector 23, Noida Sector 23, Noida - 201301";"Null";"0";"CashCheques";"javascript:void(0);";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm";"07:00 am - 08:00 pm"
123;"vision united sports management";"+(91)-9711399385";"noida extn, noida, Noida - 201301, nh 24";"5.0";"1";"2009";"http://www.vusports.co.in";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm"
124;"SIP ABACUS & Brain Gym";"+(91)-9999319881";"Flat No-A-106, Basemant, Kaushambi, Kaushambi, Ghaziabad - 201012, Opp Angal Mega Mall(Map)";"5.0";"2";"Cash";"Null";"02:00 pm - 08:00 pm";"02:00 pm - 08:00 pm";"02:00 pm - 08:00 pm";"02:00 pm - 08:00 pm";"02:00 pm - 08:00 pm";"02:00 pm - 08:00 pm";"Closed"
125;"Martial Art Coach";"+(91)-9213808225";"H No 427, Khichripur-Mayur Vihar Phase II, Delhi - 110091, Blk-3(Map)";"Null";"0";"Cash";"Null";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"09:30 am - 06:30 pm";"Closed"
126;"Max Fitness Center";"+(91)-8506887470";"19 A Pocket B, Mayur Vihar Phase II, Delhi - 110091";"Null";"0";"2013";"javascript:void(0);";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"12:00 am - 11:59 pm";"Closed"
127;"Azad Modern Sports Club";"+(91)-9818136214";"A-3/B-1, Vishwakarma colony, Near M B road, Pul Prahladpur, Delhi - 110044, Nr vishwkarma mandir(Map)";"2.0";"1";"Cash";"javascript:void(0);";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm";"08:00 am - 10:00 pm"
128;"Universal Talent Academy";"+(91)-11-33982660";"349/5, Asha Ram Gali Number 4, Mandawali, Delhi - 110092, Near Ambedkaar Bhaawan";"4.2";"5";"Cash";"javascript:void(0);";"03:00 pm - 07:00 pm";"03:00 pm - 07:00 pm";"03:00 pm - 07:00 pm";"03:00 pm - 07:00 pm";"03:00 pm - 07:00 pm";"03:00 pm - 07:00 pm";"Closed"
129;"Kolkata Bengal House";"+(91)-9811243467";"7A, J & K Pocket, Dilshad Garden, Delhi - 110095, DDA Market(Map)";"Null";"0";"Cash";"Null";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm";"10:00 am - 09:00 pm"
130;"Kshastra";"+(91)-9953409557";"69, Anarkali Colony South, Delhi - 110051, Nr Community Centre(Map)";"4.4";"8";"2005";"http://www.kshastragroup.com";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"05:00 am - 10:00 am  04:00 pm - 10:00 pm";"Closed"
131;"Littlegym";"+(91)-11-26464246";"Mount Kailash tower 1, East Of Kailash, Delhi - 110065, Near dps school, east of Kailash";"Null";"0";"Martial Art Training";"Null";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
132;"Delhi MMA";"+(91)-8588834910";"R-23 , Nehru Enclave, Kalkaji, Delhi - 110019, Nehru Place Flyover";"Null";"0";"1985";"http://www.martialartsdelhi.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
133;"Sanshinkan Self Defence & Mart...";"+(91)-9999396387";"Defence Colony, Defence Colony, Defence Colony, Delhi - 110024, Defence Colony, Near Mool Chand Metro Station, New Delhi.";"Null";"0";"CashCheques";"http://www.martialartt.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
134;"Karate king";"+(91)-9953597727";"1814/14, Kalkaji extn, Kalkaji, Delhi - 110019(Map)";"3.0";"1";"2013";"Null";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm";"10:00 am - 08:30 pm"
135;"Sma Academy";"+(91)-9716926042";"J-56, Dda flats, Rampuri-Kalkaji, Delhi - 110019(Map)";"Null";"0";"2015";"javascript:void(0);";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm";"10:00 am - 08:00 pm"
136;"Valley Of Kids";"+(91)-11-39519064";"B-58, 45, East Of Kailash, Delhi - 110065, near hdfc bank(Map)";"4.2";"5";"Dance ClassesMusic C";"http://www.valleyofkids.com";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
137;"Knockout Fight Club";"+(91)-9810021001";"R-23 Nehru Enclave, GK I, Greater Kailash, Delhi - 110048, Nehru Place flyover(Map)";"Null";"0";"1834";"http://www.martialartsdelhi.in";"Null";"Null";"Null";"Null";"Null";"Null";"Null"
138;"Titans Combat & Fitness Academy";"+(91)-8376969300";"D-205, Basement, Lajpat Nagar 1-Lajpat Nagar, Delhi - 110024, Near Lajpat Nagar Railway Station(Map)";"4.6";"8";"Cash";"http://www.skdharani.com";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm";"07:00 am - 10:00 am  05:00 pm - 09:00 pm"
